delivery_id,delivery_time,distance,cost,courier_type,traffic_level,success,city,timestamp
28,52.660889086192476,9.92628210752495,19.12339845447162,Economic,Medium,1,Tehran,2025-08-13 11:00:00
29,46.787545546583296,9.653845868120873,15.344885531680422,Economic,High,0,Mashhad,2025-08-16 01:00:00
30,52.811971879031105,12.060751253480099,39.922717779841875,Economic,High,1,Tehran,2025-08-11 09:00:00
31,35.97440081655905,7.778639316635774,42.99345566473873,Van,High,1,Mashhad,2025-08-12 06:00:00
32,60.0,4.121138539662633,50.0,Motorcycle,High,1,Shiraz,2025-08-10 12:00:00
33,35.83803330314479,10.570669257209168,31.090249805796816,Van,Medium,1,Isfahan,2025-08-16 20:00:00
34,30.299709508287954,16.77385480256948,40.900405853030215,Economic,Medium,0,Tehran,2025-08-13 00:00:00
35,57.33817368154783,13.616232333284444,50.0,Van,High,1,Mashhad,2025-08-13 10:00:00
36,17.791563500289776,7.428989452579101,15.883382617913576,Motorcycle,Low,1,Shiraz,2025-08-10 14:00:00
37,38.50636314005706,18.774937432418287,45.01194848860666,Motorcycle,Medium,1,Tehran,2025-08-10 18:00:00
38,16.2291460674755,18.33194385373446,21.54975040372478,Economic,Medium,1,Tehran,2025-08-15 20:00:00
39,20.06176741321883,4.977619588297877,50.0,Van,Medium,0,Mashhad,2025-08-16 10:00:00
40,31.968612358691235,1.7489341172868964,37.88338840287862,Van,Low,1,Isfahan,2025-08-14 01:00:00
41,37.38466579995411,15.084865458664483,50.0,Van,Low,1,Tehran,2025-08-10 23:00:00
42,38.05641937427964,16.724594965633912,26.013533412370904,Motorcycle,Medium,1,Isfahan,2025-08-14 06:00:00
43,28.843517176117594,19.38942675307575,15.251034007078529,Motorcycle,Low,1,Isfahan,2025-08-12 17:00:00
44,26.988963044107113,17.906891487677903,20.956133703766326,Van,Low,1,Tabriz,2025-08-11 21:00:00
45,15.214780096325725,12.410160595921882,26.55884411568911,Motorcycle,Low,0,Tehran,2025-08-12 13:00:00
46,34.20233687407937,11.070994445035236,46.796711478767605,Motorcycle,High,1,Shiraz,2025-08-14 06:00:00
47,25.393612290402125,1.5289799739891397,50.0,Van,Low,1,Tehran,2025-08-10 22:00:00
48,40.57122226218915,5.686472490050779,35.98831804552445,Motorcycle,Low,1,Mashhad,2025-08-10 05:00:00
49,50.15427434352692,9.732680282925601,31.86843440928734,Van,High,1,Mashhad,2025-08-12 05:00:00
50,12.36959844637266,12.941574101587788,43.99657443735221,Van,Low,1,Tehran,2025-08-11 17:00:00
51,60.0,11.587784833049803,6.7178754466749275,Economic,High,0,Shiraz,2025-08-14 03:00:00
52,39.22376579375525,15.11008380395212,50.0,Van,High,1,Tehran,2025-08-14 07:00:00
53,23.230779996940413,6.315571686853776,49.54514730079436,Motorcycle,Low,1,Mashhad,2025-08-13 00:00:00
54,46.951791754931286,11.734099545396992,20.51241087993697,Economic,Low,0,Tehran,2025-08-16 21:00:00
55,48.37199426995141,2.6747026244250502,8.240046586379176,Van,Medium,1,Isfahan,2025-08-16 23:00:00
56,60.0,8.859644948080932,13.348546231461018,Economic,High,1,Tehran,2025-08-11 15:00:00
57,32.41173715166042,15.25305582613742,41.23645139852262,Motorcycle,High,1,Shiraz,2025-08-11 06:00:00
58,26.907876241487855,14.174616215151836,48.8153539787605,Van,Low,1,Shiraz,2025-08-13 04:00:00
59,39.97516117684277,19.8222120062714,40.453912381349475,Motorcycle,Medium,1,Shiraz,2025-08-15 05:00:00
60,60.0,6.279931393767364,17.344568200869958,Economic,High,1,Tehran,2025-08-14 14:00:00
61,30.24990914585652,10.465596684305604,50.0,Van,Medium,1,Isfahan,2025-08-13 07:00:00
62,54.87964995505556,7.261077861705938,37.97300070280479,Economic,High,1,Tehran,2025-08-16 10:00:00
63,36.92646800688245,9.37145916712432,18.74558630123803,Economic,High,0,Shiraz,2025-08-11 09:00:00
64,18.037933759193294,17.282052467518373,44.32044999384493,Van,Low,1,Isfahan,2025-08-13 19:00:00
65,60.0,13.999972428581245,11.162228527127715,Economic,High,1,Mashhad,2025-08-11 00:00:00
66,,17.766382635604053,25.36540265460122,Motorcycle,Low,1,Isfahan,2025-08-13 22:00:00
67,57.09580262918349,4.866711058305842,47.15449757568406,Economic,High,1,Tehran,2025-08-15 11:00:00
68,40.03532897892024,17.593861238987323,23.953612092142585,Motorcycle,Low,1,Mashhad,2025-08-12 03:00:00
69,50.424540375714514,2.135483209389304,50.0,Motorcycle,High,1,Tehran,2025-08-15 05:00:00
70,30.613443190133385,17.883386328305896,25.249121149349,Economic,Low,1,Tabriz,2025-08-14 18:00:00
71,33.61395605508414,7.25240180975383,13.634452089606054,Motorcycle,Low,1,Shiraz,2025-08-14 03:00:00
72,60.0,6.977165034867263,50.0,Van,High,1,Isfahan,2025-08-15 01:00:00
73,29.641739608900483,10.729682957274614,27.769249812067855,Motorcycle,Low,1,Tabriz,2025-08-12 20:00:00
74,54.77572386976807,18.873113566741402,25.23274609222101,Motorcycle,Medium,1,Tehran,2025-08-16 00:00:00
75,12.0,1.907845928946702,10.383369778223166,Motorcycle,Medium,1,Tabriz,2025-08-16 09:00:00
76,45.86283005250269,7.6923885263441605,39.190618290656815,Van,Medium,1,Tehran,2025-08-14 12:00:00
77,30.87047068238171,17.27486778498338,12.411460396174832,Van,Low,1,Isfahan,2025-08-10 23:00:00
78,40.51488974301199,8.525035071273868,17.00029316329885,Van,High,1,Isfahan,2025-08-14 12:00:00
79,48.23146811395384,4.783981054344273,20.870294704135556,Economic,Medium,1,Tehran,2025-08-13 22:00:00
80,12.149173024789286,9.071089445296824,30.924575036158434,Van,Medium,1,Tehran,2025-08-16 13:00:00
81,41.70492168243732,8.325497528341717,50.0,Motorcycle,High,1,Tehran,2025-08-11 23:00:00
82,33.57112571511746,18.392907827867365,32.860141863168266,Van,Low,1,Tabriz,2025-08-14 15:00:00
83,44.77894044741516,15.476753139118845,50.0,Van,Low,1,Tehran,2025-08-16 17:00:00
84,37.22594672589529,10.597195559136122,34.633366423777105,Motorcycle,High,1,Mashhad,2025-08-14 13:00:00
85,42.73437474358284,19.77904076770985,35.216500885348886,Economic,High,1,Shiraz,2025-08-10 23:00:00
86,37.47364434623195,9.840273094242542,33.07633408667208,Van,High,1,Tehran,2025-08-10 10:00:00
87,50.90022753012696,2.106518785585229,37.90857902217984,Economic,Low,1,Mashhad,2025-08-15 11:00:00
88,51.92851731069108,5.983212114484713,23.083185888919264,Economic,Medium,1,Isfahan,2025-08-13 15:00:00
89,38.53574082123419,9.28533912416694,37.32043322289589,Economic,Medium,1,Tehran,2025-08-14 22:00:00
90,52.69901149670034,3.981149858776282,25.71246744771013,Motorcycle,High,1,Shiraz,2025-08-12 09:00:00
91,40.262008141524525,19.003737400156815,8.368369422400772,Economic,Low,1,Tehran,2025-08-16 21:00:00
92,60.0,15.570129058537688,37.29477749969474,Economic,High,1,Tehran,2025-08-11 15:00:00
93,34.469203591839715,6.0974568081276805,6.419021010220923,Motorcycle,High,1,Mashhad,2025-08-15 06:00:00
94,41.68847051307481,12.2252861368404,21.1105471563583,Economic,Medium,1,Mashhad,2025-08-15 14:00:00
95,50.853891013922926,14.707533985081868,13.12904219519104,Economic,High,1,Tabriz,2025-08-16 17:00:00
96,23.04727577801822,18.884299649229163,39.87827723950956,Motorcycle,High,1,Shiraz,2025-08-16 21:00:00
97,49.44180415596864,17.751071634332803,50.0,Motorcycle,High,1,Mashhad,2025-08-15 14:00:00
98,32.610552721798896,10.78865229662606,42.731915794307966,Van,Low,1,Tehran,2025-08-10 21:00:00
99,36.061361479709525,15.718399776067335,50.0,Van,Medium,1,Tehran,2025-08-13 02:00:00
100,27.654128666248532,11.680750322724116,45.95297588112074,Van,Low,1,Tehran,2025-08-14 23:00:00
101,30.900270530016922,11.501373910865262,26.22028934369384,Economic,High,1,Mashhad,2025-08-14 15:00:00
102,50.297416206075496,3.180097208425646,44.9942949053232,Economic,High,1,Shiraz,2025-08-10 20:00:00
103,51.81706692772799,3.396615502306889,47.57117808284231,Economic,High,1,Tehran,2025-08-15 02:00:00
104,21.97722730778381,11.061138685426691,44.397123026804735,Motorcycle,Low,1,Tehran,2025-08-13 04:00:00
105,44.28394289801026,6.108369354601125,14.665207119404227,Economic,Medium,1,Mashhad,2025-08-11 14:00:00
106,34.040508568145384,1.399701146748904,48.7168748675026,Van,Low,1,Tehran,2025-08-11 08:00:00
107,48.8618590121053,14.733944874104033,15.075375498755825,Motorcycle,Low,1,Isfahan,2025-08-13 04:00:00
108,38.09493375398206,1.6172453371131343,24.97625141209429,Motorcycle,Medium,1,Mashhad,2025-08-12 15:00:00
109,32.57550390722764,12.310259980977037,26.789587959190577,Motorcycle,Low,0,Mashhad,2025-08-15 13:00:00
110,43.883311263507494,11.244682088418973,50.0,Van,High,1,Tehran,2025-08-14 13:00:00
111,10.812287847009586,19.407479120978284,50.0,Van,Low,1,Tabriz,2025-08-13 03:00:00
112,,10.20004964760519,39.03553963293848,Van,Medium,1,Tehran,2025-08-16 01:00:00
113,45.90345314911539,2.20842729117815,6.956040033954809,Motorcycle,High,1,Shiraz,2025-08-10 12:00:00
114,54.63242112485286,11.482071388322773,48.15780506957306,Motorcycle,Low,1,Tehran,2025-08-15 21:00:00
115,43.79916894941449,16.980827241705928,10.274032426048985,Economic,Medium,1,Shiraz,2025-08-10 19:00:00
116,60.0,19.94013640134736,31.665300840065,Economic,High,1,Isfahan,2025-08-10 11:00:00
117,35.58345876353708,9.176520300092378,10.10408935723424,Van,Medium,0,Tehran,2025-08-15 11:00:00
118,21.975863548565613,7.085676107438108,22.977791386725393,Motorcycle,Medium,1,Shiraz,2025-08-11 03:00:00
119,53.85669658869527,18.22641264208798,39.49457087615259,Economic,Low,0,Isfahan,2025-08-15 10:00:00
120,37.519330326867745,4.633600452446306,15.726499881957382,Van,Low,1,Tehran,2025-08-14 12:00:00
121,,12.693149385625606,47.651059843168134,Van,High,1,Tehran,2025-08-14 09:00:00
122,32.613555705202074,8.708574059438007,15.057398206838279,Economic,Medium,1,Isfahan,2025-08-11 00:00:00
123,44.02794310936099,1.7805649341555503,50.0,Van,Low,1,Isfahan,2025-08-14 22:00:00
124,23.972234058115788,7.598481011808257,50.0,Motorcycle,High,1,Isfahan,2025-08-16 01:00:00
125,43.04228512560324,6.039341927550817,23.544666320670448,Van,Medium,0,Isfahan,2025-08-12 16:00:00
126,60.0,14.03573192492625,8.653450417269402,Motorcycle,Medium,1,Isfahan,2025-08-13 18:00:00
127,20.094636748693116,19.027019456146444,33.221227732750286,Motorcycle,Low,1,Shiraz,2025-08-12 17:00:00
128,31.638129515163968,6.092896560194117,16.109273627813554,Economic,Low,1,Mashhad,2025-08-16 05:00:00
129,40.29546774613934,16.417852843881953,31.014541868000098,Economic,Low,1,Tehran,2025-08-10 20:00:00
130,48.682224744734114,2.051836521829781,6.187573462129586,Economic,High,0,Tabriz,2025-08-15 08:00:00
131,14.493365689338674,11.22429919075645,18.15489321192859,Van,Low,1,Tehran,2025-08-10 04:00:00
132,39.891318672478356,2.340451210487997,31.580340417796684,Economic,Low,1,Tehran,2025-08-11 05:00:00
133,37.78507758234095,18.746626831482146,13.974412309067905,Economic,High,1,Isfahan,2025-08-14 22:00:00
134,52.10388645952773,15.560674330590414,50.0,Van,High,1,Mashhad,2025-08-11 21:00:00
135,32.45698194595268,13.501048312887255,6.7201991533213645,Economic,Medium,1,Tehran,2025-08-11 22:00:00
136,45.499344050175395,16.65403125086862,24.249537221828916,Van,Low,1,Tehran,2025-08-14 04:00:00
137,22.167467076637628,13.302876115833099,50.0,Van,Low,1,Isfahan,2025-08-10 11:00:00
138,40.16907725691487,19.40994354631153,29.386109539686803,Motorcycle,High,1,Tabriz,2025-08-10 21:00:00
139,38.135172173696695,14.565201009430659,36.63345485950896,Motorcycle,Low,1,Mashhad,2025-08-14 10:00:00
140,34.498145829537876,18.56851358206269,12.691043710622992,Economic,High,1,Mashhad,2025-08-13 04:00:00
141,48.411899019061934,10.825505948202123,50.0,Van,High,0,Tehran,2025-08-13 08:00:00
142,,3.2242238466553905,41.44225038428622,Motorcycle,Low,1,Tehran,2025-08-16 06:00:00
143,16.71020118526527,11.035376707037326,21.066593475392274,Motorcycle,Medium,1,Tehran,2025-08-14 20:00:00
144,47.769507877984566,3.4105837331987727,50.0,Motorcycle,High,1,Tehran,2025-08-14 19:00:00
145,32.598827942484235,12.257376104351696,32.15379103125275,Motorcycle,Low,1,Mashhad,2025-08-16 15:00:00
146,58.996436799726034,10.167368150025595,19.809271180755196,Economic,Medium,1,Tehran,2025-08-12 19:00:00
147,21.156591469463017,12.828932558822853,33.10329847048635,Motorcycle,Medium,0,Tehran,2025-08-13 15:00:00
148,26.20087683588529,1.1908926400418003,24.763390507693273,Economic,Medium,1,Isfahan,2025-08-11 23:00:00
149,42.26329878740277,4.7019693414519175,18.673632256835955,Van,Medium,1,Shiraz,2025-08-12 06:00:00
150,42.860800752031416,10.335278206330488,18.498365315210783,Economic,Low,1,Tabriz,2025-08-11 23:00:00
151,32.504928503458764,19.059567670193562,20.454376460877192,Motorcycle,Low,1,Isfahan,2025-08-10 20:00:00
152,33.46448209496975,8.28857176674801,38.017027151500116,Van,Low,1,Tehran,2025-08-16 10:00:00
153,23.199752784215093,9.063068495019058,50.0,Van,Low,1,Isfahan,2025-08-12 18:00:00
154,50.42315767571166,14.57922569112582,23.508520935680238,Economic,Medium,1,Tehran,2025-08-11 03:00:00
155,39.51686967958417,12.472062388436242,50.0,Van,Medium,0,Isfahan,2025-08-14 15:00:00
156,44.570147348485825,6.6795968518683315,17.48682105708444,Economic,High,1,Shiraz,2025-08-15 16:00:00
157,58.38929413373708,8.805511515781127,35.55999153423271,Van,Medium,1,Isfahan,2025-08-10 04:00:00
158,54.191793566223886,5.136296178287417,32.330445177245494,Economic,Medium,1,Tabriz,2025-08-10 01:00:00
159,27.13044754196027,19.35440772347396,35.485328039320514,Motorcycle,High,0,Isfahan,2025-08-14 05:00:00
160,47.53519691223979,3.482053249589835,23.693013271280122,Economic,Low,1,Isfahan,2025-08-11 05:00:00
161,26.32913828704482,8.06489890676197,6.512270455005268,Economic,Low,1,Tehran,2025-08-10 03:00:00
162,37.87084603742452,1.4909404721802126,22.936984822330512,Motorcycle,Low,1,Tabriz,2025-08-11 19:00:00
163,54.06174252709625,5.2138103467373815,15.12105580390061,Economic,Low,1,Tehran,2025-08-16 23:00:00
164,,15.828951629222944,39.97606442192016,Economic,Low,1,Tabriz,2025-08-15 02:00:00
165,,4.82232941348871,37.37443679333885,Van,High,1,Tehran,2025-08-14 21:00:00
166,,2.5212046480503463,47.3112753334044,Economic,High,1,Tehran,2025-08-14 07:00:00
167,38.2206015999449,10.014610417045942,50.0,Van,Low,1,Shiraz,2025-08-17 00:00:00
168,58.761515791847366,1.1894154599558515,22.37536225500848,Motorcycle,Medium,1,Tehran,2025-08-16 10:00:00
169,33.05534260796556,2.6105569341003303,44.188570540253345,Van,Medium,1,Shiraz,2025-08-15 04:00:00
170,26.955166027710124,16.344891521696525,50.0,Van,Medium,1,Tehran,2025-08-13 05:00:00
171,31.657283555617152,15.657993552332522,50.0,Motorcycle,High,1,Shiraz,2025-08-16 14:00:00
172,26.21027658041474,18.387637587693025,18.326586562914805,Van,Medium,1,Isfahan,2025-08-16 13:00:00
173,,17.23579328230424,24.336949625241157,Motorcycle,High,1,Isfahan,2025-08-13 20:00:00
174,43.434975672616375,13.980335701556545,17.674837936457436,Economic,Low,1,Tehran,2025-08-14 05:00:00
175,51.11637646954831,1.994324288712594,6.06497392460741,Economic,Medium,1,Tehran,2025-08-13 05:00:00
176,45.92619898843228,15.874123741746493,47.88104879000302,Van,Medium,1,Shiraz,2025-08-10 22:00:00
177,39.16902459441279,17.06470540597065,38.25087409849065,Economic,Low,1,Tehran,2025-08-11 08:00:00
178,44.53534077157317,16.182560769667134,24.387932197363135,Motorcycle,Low,1,Tehran,2025-08-11 10:00:00
179,42.671353401487885,10.661101670852496,30.641294019430372,Economic,Medium,1,Isfahan,2025-08-10 03:00:00
180,60.0,5.425134934340152,33.2465186120333,Motorcycle,Medium,1,Mashhad,2025-08-12 00:00:00
181,56.5604106251341,17.061269538085806,19.275689925522833,Economic,Medium,1,Tehran,2025-08-11 04:00:00
182,25.714109323004607,14.816093385062631,18.723690112303057,Van,Medium,1,Tehran,2025-08-10 04:00:00
183,30.09407703024665,19.63446231338818,32.48922456992831,Economic,Medium,1,Tehran,2025-08-12 00:00:00
184,60.0,3.9581593573627254,41.717215298261586,Economic,High,1,Shiraz,2025-08-10 06:00:00
185,43.31398054891673,5.287627077989046,31.559837899099083,Economic,Medium,1,Tehran,2025-08-12 05:00:00
186,44.5680059291051,5.024164847748551,5.804531781566813,Motorcycle,Medium,1,Tabriz,2025-08-15 03:00:00
187,52.09856436860318,16.058255584805398,19.444233926824882,Motorcycle,High,1,Tehran,2025-08-16 22:00:00
188,29.27171087343127,4.551238632552245,13.408888877602244,Van,Low,1,Tehran,2025-08-11 13:00:00
189,21.53206281931595,2.266536766642816,30.667374480930203,Motorcycle,Low,1,Mashhad,2025-08-16 22:00:00
190,19.30698607908376,19.972655325126944,34.35651608208033,Economic,Low,1,Tehran,2025-08-12 13:00:00
191,49.79295843469309,1.4715270174578339,9.577020881366087,Economic,High,1,Isfahan,2025-08-14 15:00:00
192,,16.869637143018448,50.0,Motorcycle,High,1,Shiraz,2025-08-16 16:00:00
193,41.78321867369266,7.941969989462403,26.398155544461137,Economic,Low,1,Tehran,2025-08-15 17:00:00
194,17.54261221288012,16.99069373539849,50.0,Van,Low,1,Shiraz,2025-08-12 00:00:00
195,31.73180925851182,11.537789333011755,50.0,Van,Low,1,Tehran,2025-08-10 22:00:00
196,40.62380855674604,18.130993360240844,9.642208918261018,Motorcycle,Medium,1,Tehran,2025-08-13 05:00:00
197,31.742138456983007,18.597666741877905,50.0,Motorcycle,High,1,Tehran,2025-08-14 22:00:00
198,37.84470127134633,1.172865444334744,16.011931979150127,Van,Medium,1,Tabriz,2025-08-11 13:00:00
199,,2.432831343862977,44.91262967132839,Van,High,1,Tehran,2025-08-15 01:00:00
200,27.855445532540653,5.756815861846254,50.0,Motorcycle,High,1,Shiraz,2025-08-14 12:00:00
201,40.2934483241794,13.716992910906532,45.78144065320407,Motorcycle,Medium,1,Mashhad,2025-08-10 05:00:00
202,35.60784526368234,17.877171733718615,30.565397840484696,Motorcycle,Low,1,Tehran,2025-08-11 05:00:00
203,60.0,9.738897074585292,30.46532037349837,Economic,High,1,Mashhad,2025-08-11 18:00:00
204,,12.532489209211043,36.86663005693507,Motorcycle,Medium,1,Shiraz,2025-08-11 15:00:00
205,19.467967584514906,4.581497203115662,42.47414008037214,Motorcycle,Medium,0,Isfahan,2025-08-14 17:00:00
206,40.21241172165511,16.294369843752023,10.049282524027179,Economic,High,1,Mashhad,2025-08-15 04:00:00
207,35.1503526720866,19.379234115715924,50.0,Van,Low,1,Shiraz,2025-08-15 00:00:00
208,52.706789263683135,6.103379725377351,35.18780334039004,Motorcycle,High,1,Tehran,2025-08-10 05:00:00
209,60.0,10.40169308041038,24.266931964672903,Economic,High,1,Tabriz,2025-08-14 19:00:00
210,60.0,2.636206099621102,24.07548883986492,Motorcycle,Low,1,Shiraz,2025-08-16 05:00:00
211,42.850686128317996,11.6235964727964,27.914521336071918,Motorcycle,Medium,1,Isfahan,2025-08-12 14:00:00
212,60.0,10.55288539508693,38.02181992220573,Economic,Medium,0,Shiraz,2025-08-12 03:00:00
213,39.54001763493203,3.7442931989464743,44.50375466347023,Van,Low,1,Mashhad,2025-08-13 03:00:00
214,56.96170352037045,9.399258049243425,38.31439137747301,Economic,Medium,0,Isfahan,2025-08-16 01:00:00
215,32.21676906431585,7.347988389644702,13.113055877703827,Motorcycle,Medium,1,Mashhad,2025-08-14 04:00:00
216,37.589692204932675,10.914786630798597,50.0,Van,Low,1,Tehran,2025-08-10 13:00:00
217,28.953272211011566,12.127432373147185,33.2406233899149,Economic,Low,1,Mashhad,2025-08-13 13:00:00
218,43.10562973485586,1.1614159935369806,31.293501720860537,Economic,Medium,1,Tehran,2025-08-10 02:00:00
219,37.71954678256345,15.459113676041552,50.0,Van,High,1,Mashhad,2025-08-11 02:00:00
220,36.982489672635865,14.547271545373075,33.458232663766026,Motorcycle,Medium,1,Tehran,2025-08-16 17:00:00
221,60.0,7.959441337923922,38.492847110116365,Economic,Low,1,Tehran,2025-08-14 14:00:00
222,22.08832874446091,2.005782775807547,44.324646297257054,Economic,High,1,Tehran,2025-08-14 10:00:00
223,60.0,15.343718255915958,10.082872755001901,Economic,High,1,Shiraz,2025-08-15 06:00:00
224,20.809261932155223,19.148328049084515,50.0,Motorcycle,High,1,Tehran,2025-08-16 04:00:00
225,49.297328617106054,5.56288032441827,22.687764359827113,Economic,High,0,Isfahan,2025-08-16 08:00:00
226,60.0,7.14696766100372,32.504387552626746,Van,High,1,Tehran,2025-08-15 21:00:00
227,45.96420028643194,4.492444900154484,50.0,Van,High,1,Mashhad,2025-08-13 02:00:00
228,37.48397683037853,11.961786343551953,25.809818478595403,Economic,High,1,Tehran,2025-08-10 09:00:00
229,29.701051779620414,3.941986498301644,36.41124173100195,Economic,Low,1,Tehran,2025-08-15 04:00:00
230,55.19396623402014,7.7676849257662095,30.335692568423404,Van,High,1,Isfahan,2025-08-14 06:00:00
231,27.23560041939436,14.243247264750996,7.7652291959997015,Van,Medium,1,Isfahan,2025-08-15 04:00:00
232,60.0,11.64220367717762,28.824220846747917,Economic,High,1,Tehran,2025-08-15 11:00:00
233,45.68357759855721,8.34278872223077,17.118488788073627,Van,High,1,Mashhad,2025-08-16 07:00:00
234,35.22599478591275,8.984742434343296,46.736301598345115,Motorcycle,High,1,Shiraz,2025-08-16 12:00:00
235,60.0,11.68010676984136,22.998863082522977,Motorcycle,High,1,Tehran,2025-08-15 04:00:00
236,54.50878533477017,1.1114298298560648,32.952551408246634,Motorcycle,High,1,Tehran,2025-08-12 11:00:00
237,10.0,2.4916875006185872,8.916510429119942,Motorcycle,Low,1,Isfahan,2025-08-10 15:00:00
238,,17.743903287497222,29.53444919720851,Van,Medium,1,Tehran,2025-08-15 15:00:00
239,35.07320302847418,2.4797007927345245,48.20047313596288,Motorcycle,High,1,Tabriz,2025-08-10 04:00:00
240,60.0,14.429268327999598,11.3485977941802,Economic,High,1,Isfahan,2025-08-14 12:00:00
241,28.69723040037489,18.480725118071998,27.29774420057047,Economic,Low,1,Mashhad,2025-08-16 03:00:00
242,34.62316270239721,6.142988481732891,46.28416337620255,Motorcycle,Medium,1,Mashhad,2025-08-13 08:00:00
243,54.67780155209514,8.039337304130772,28.474123351277935,Economic,Medium,0,Mashhad,2025-08-15 21:00:00
244,57.98632791255182,11.80950671104961,50.0,Motorcycle,High,1,Tehran,2025-08-10 16:00:00
245,26.995553894163358,17.752470423133108,11.884467982411453,Motorcycle,High,1,Tabriz,2025-08-12 20:00:00
246,39.98248146238578,18.896206157947983,19.539518604110942,Motorcycle,High,1,Isfahan,2025-08-16 21:00:00
247,39.39085314588908,15.051701714114094,39.82373854872741,Economic,Medium,1,Tehran,2025-08-14 10:00:00
248,30.506719976541746,2.6457754562391864,29.74380209025121,Economic,Low,1,Mashhad,2025-08-15 01:00:00
249,60.0,13.713928955162165,44.589497286812296,Motorcycle,High,1,Tehran,2025-08-11 05:00:00
250,51.07472566441433,8.795770715580579,46.02774412562898,Motorcycle,High,1,Tehran,2025-08-15 06:00:00
251,17.391160456649548,9.94331899033017,23.639024943708954,Motorcycle,Low,1,Isfahan,2025-08-16 15:00:00
252,39.17861947054776,1.9338194165583638,7.005048422794395,Motorcycle,Low,1,Isfahan,2025-08-16 21:00:00
253,60.0,4.630180647580806,50.0,Van,High,0,Mashhad,2025-08-13 16:00:00
254,40.32465260551147,16.019758543139307,39.09630519266001,Motorcycle,Low,1,Tehran,2025-08-14 18:00:00
255,28.87228566389674,9.625217827909335,25.22515284966971,Economic,High,1,Isfahan,2025-08-14 15:00:00
256,30.18919112560498,6.731582590991828,50.0,Motorcycle,Medium,1,Tehran,2025-08-10 05:00:00
257,51.20293379023947,8.296362405334204,30.190777386494172,Van,Medium,1,Isfahan,2025-08-11 17:00:00
258,29.80029694695585,17.233590753187922,14.595582792324493,Economic,Low,1,Mashhad,2025-08-13 01:00:00
259,34.43819428146229,15.230981330694181,50.0,Van,Low,1,Isfahan,2025-08-12 01:00:00
260,45.295608641152036,6.173992546440573,40.864444464154346,Motorcycle,Medium,0,Shiraz,2025-08-15 00:00:00
261,32.33988464338191,3.232534964035093,22.539273183340413,Economic,Medium,1,Shiraz,2025-08-13 16:00:00
262,29.404746439382,5.787966211237363,10.883063275603249,Motorcycle,Low,1,Tabriz,2025-08-14 16:00:00
